term	subset	value	exact_matches	conceptual_matches	total_matches	
CM-026	Territory	 NORTHEASTNYC	52	177	229	
member	Territory	 NORTHEASTNYC	37	111	148	
cHD	Territory	 NORTHEASTNYC-NY	6	318	324	
bar	Territory	 NORTHEASTNYC-NY	13	0	13	
Community TL	Territory	 NORTHWESTAK	73	820	893	
utilized	Territory	 NORTHWESTAK	45	0	45	
offered	Territory	 NORTHWESTAK	88	0	88	
HL	Territory	 NORTHWESTAK	51	171	222	
NW territory	Territory	 NORTHWESTCO	14	1448	1462	
sky-rocketed	Territory	 NORTHWESTCO	3	577	580	
NeoGenomics	Territory	 NORTHWESTCO	8	554	562	
laboratory	Territory	 NORTHWESTCO	7	1271	1278	
clone	Territory	 NORTHWESTCO	5	149	154	
diagnostics	Territory	 NORTHWESTCO	8	1288	1296	
medical director	Territory	 NORTHWESTCO	8	365	373	
healthcare	Territory	 NORTHWESTCO	6	688	694	
Ventana platform	Territory	 NORTHWESTCO	7	145	152	
reflex testing	Territory	 NORTHWESTCO	11	91	102	
medical oncologists	Territory	 NORTHWESTCO	23	176	199	
platform	Territory	 NORTHWESTCO	18	149	167	
IHC	Territory	 NORTHWESTCO	25	536	561	
insights	Territory	 NORTHWESTCO	137	0	137	
molecular	Territory	 NORTHWESTCO	17	42	59	
SP142	Territory	 NORTHWESTCO	17	146	163	
pathologist	Territory	 NORTHWESTCO	45	211	256	
network	Territory	 NORTHWESTCO	18	441	459	
pathology	Territory	 NORTHWESTCO	19	213	232	
gained	Territory	 NORTHWESTCO	19	86	105	
provided the following unsolicited insights	Territory	 NORTHWESTOR	45	146	191	
Met with a national/regional lung	Territory	 NORTHWESTOR	10	211	221	
Met with a regional	Territory	 NORTHWESTOR	21	174	195	
AI/TL post-ESMO	Territory	 NORTHWESTOR	9	660	669	
AI/TL	Territory	 NORTHWESTOR	27	661	688	
Met with a national	Territory	 NORTHWESTOR	25	644	669	
genitourinary	Territory	 NORTHWESTOR	3	757	760	
sensitivity	Territory	 NORTHWESTOR	3	7	10	
Tony Wang	Territory	 NORTHWESTOR	3	100	103	
disclosed	Territory	 NORTHWESTOR	13	182	195	
hit PFS	Territory	 NORTHWESTOR	6	224	230	
CM 026	Territory	 NORTHWESTOR	27	207	234	
consideration	Territory	 NORTHWESTOR	18	0	18	
P&T	Territory	 NORTHWESTOR	18	182	200	
following unsolicited insights	Territory	 NORTHWESTOR	79	48	127	
commitment	Territory	 NORTHWESTOR	6	0	6	
hypothesis	Territory	 NORTHWESTOR	6	227	233	
KN 024	Territory	 NORTHWESTOR	17	248	265	
SQ	Territory	 NORTHWESTOR	8	0	8	
organization	Territory	 NORTHWESTOR	14	154	168	
international GI conference	Territory	 NYC - ST2	17	43	60	
said	Territory	 NYC - ST2	479	0	479	
international GI conference	Territory	 NYC -ST2	17	43	60	
pancreatic cancer	Territory	 NYC -ST2	9	57	66	
NY	Territory	 New York City - ST1	13	194	207	
told	Territory	 New York City - ST1	136	65	201	
affiliation	Territory	 No longer with FM	3	467	470	
voluntarily	Territory	 OK	7	0	7	
I-O agents	Territory	 OK	14	6	20	
H&N cancer	Territory	 OK	22	39	61	
CM-026	Territory	 OK	52	177	229	
TL shared	Territory	 OK	119	1081	1200	
feels	Territory	 OK	397	56	453	
lung TL said	Territory	 PA	16	1110	1126	
atezi	Territory	 PA	5	27	32	
Regional lung TL told	Territory	 PA	21	2	23	
Fall ECOG	Territory	 PA	4	148	152	
voiced his opinion	Territory	 PA	7	16	23	
Local lung TL commented	Territory	 PA	14	0	14	
isn	Territory	 PA	11	106	117	
GR	Territory	 PA	5	0	5	
second	Territory	 PA	5	0	5	
H&N TL	Territory	 PA	20	432	452	
sutent	Territory	 PA	8	3	11	
TL told	Territory	 PA	65	938	1003	
Local	Territory	 PA	184	1056	1240	
t	Territory	 PA	117	0	117	
doesn	Territory	 PA	36	94	130	
TL said	Territory	 PA	86	62	148	
said	Territory	 PA	479	0	479	
line	Territory	 PA	345	108	453	
told	Territory	 PA	136	65	201	
national	Territory	 PA	183	979	1162	
HCP	Territory	 Puerto Rico	115	124	239	
consultant	Territory	 Puerto Rico MSL	5	207	212	
Post-ASCO	Territory	 Puerto Rico MSL	6	418	424	
Northeast	Territory	 RI	9	121	130	
IME	Territory	 RI	3	0	3	
New England	Territory	 RI	17	970	987	
cell carcinoma	Territory	 RI	7	40	47	
NCCN institution	Territory	 RI	16	109	125	
immuno-oncology	Territory	 RI	11	54	65	
produce	Territory	 RI	11	0	11	
US	Territory	 RI	14	24	38	
thought leader	Territory	 RI	25	22	47	
Boston	Territory	 RI	40	82	122	
MD	Territory	 RI	29	71	100	
ipilimumab	Territory	 RI	22	17	39	
renal	Territory	 RI	22	26	48	
cabozantinib	Territory	 RI	27	137	164	
IO agents	Territory	 RI	45	174	219	
major	Territory	 RI	90	483	573	
advanced	Territory	 RI	36	0	36	
hospital	Territory	 RI	72	479	551	
improved	Territory	 RI	36	0	36	
care	Territory	 RI	75	12	87	
CLL	Territory	 ROCKY MOUNTAINUT	5	98	103	
like to see a trial	Territory	 ROCKY MOUNTAINUT	15	14	29	
GVHD	Territory	 ROCKY MOUNTAINUT	21	118	139	
high-grade	Territory	 S. CA	5	192	197	
NTL in GU	Territory	 S. CA	9	499	508	
NTL said	Territory	 S. CA	24	14	38	
Academic NTL	Territory	 S. CA	11	12	23	
RTL said	Territory	 S. CA	31	0	31	
anti-PD-1	Territory	 S. CA	31	661	692	
KN-024 and CM-026	Territory	 S. CA	15	310	325	
cited	Territory	 S. CA	33	0	33	
first-line	Territory	 S. CA	26	54	80	
guide	Territory	 S. CA	28	116	144	
shared	Territory	 S. CA	507	1	508	
feels	Territory	 S. CA	397	56	453	
NCCN center in the midwest stated	Territory	 SD	12	299	311	
exercise	Territory	 SD	5	238	243	
P&T committee	Territory	 SD	8	478	486	
NCCN center	Territory	 SD	26	280	306	
AI stated	Territory	 SD	24	171	195	
payor	Territory	 SD	7	23	30	
order sets	Territory	 SD	8	321	329	
reactive discussion	Territory	 SD	9	310	319	
advisor	Territory	 SD	27	231	258	
build	Territory	 SD	10	21	31	
midwest	Territory	 SD	42	124	166	
expression levels	Territory	 SD	41	170	211	
unsolicited	Territory	 SD	99	200	299	
perspective	Territory	 SD	25	0	25	
chair	Territory	 SD	26	260	286	
panelist	Territory	 SD	134	164	298	
minimal	Territory	 SD	20	0	20	
o	Territory	 SD	46	220	266	
NCCN panelist	Territory	 SD	94	149	243	
AI	Territory	 SD	121	70	191	
RAI	Territory	 SOUTHAK	15	701	716	
context of an online lecture	Territory	 SOUTHAK	7	659	666	
NAI	Territory	 SOUTHAK	7	282	289	
NCCN 2016 Webex Congress Series	Territory	 SOUTHAK	7	657	664	
proactive meeting to discuss CM-026	Territory	 SOUTHAK	7	257	264	
Bone Marrow Transplant Director	Territory	 SOUTHAK	5	713	718	
academic institution in the HSL South	Territory	 SOUTHAK	10	110	120	
Annual New Orleans Summer Cancer	Territory	 SOUTHAK	4	341	345	
LAI	Territory	 SOUTHAK	4	238	242	
RAI/NSCLC	Territory	 SOUTHAK	8	175	183	
made the following comments	Territory	 SOUTHAK	17	549	566	
South	Territory	 SOUTHAK	20	360	380	
NCCN panelist for NSCLC	Territory	 SOUTHAK	11	482	493	
Assoc	Territory	 SOUTHAK	3	312	315	
RCTs	Territory	 SOUTHAK	3	541	544	
Vice Chancellor Clin Res	Territory	 SOUTHAK	3	312	315	
territory	Territory	 SOUTHAK	35	349	384	
shared the following unsolicited insights	Territory	 SOUTHAK	26	724	750	
national access influencer	Territory	 SOUTHAK	7	486	493	
NSCLC NCCN panelist	Territory	 SOUTHAK	17	665	682	
Pediatric Oncology/ Hematology	Territory	 SOUTHTN	4	319	323	
Pediatric	Territory	 SOUTHTN	11	367	378	
Brentuximab vedotin	Territory	 SOUTHTN	11	135	146	
ASCT	Territory	 SOUTHTN	10	190	200	
academic center	Territory	 SOUTHTN	103	319	422	
described	Territory	 SOUTHTN	44	0	44	
brentuximab	Territory	 SOUTHTN	36	163	199	
lymphoma	Territory	 SOUTHTN	73	12	85	
transplant	Territory	 SOUTHTN	92	193	285	
cHL	Territory	 SOUTHTN	116	190	306	
large	Territory	 SOUTHTN	283	242	525	
nivolumab	Territory	 SOUTHTN	335	5	340	
NTL	Territory	 SOUTHTN	311	710	1021	
auto	Territory	 SOUTHEASTGA	15	204	219	
pt	Territory	 SOUTHEASTGA	67	23	90	
reported	Territory	 SOUTHEASTGA	182	10	192	
like to see a trial	Territory	 SOUTHWESTS.CA	15	14	29	
BMS-sponsored	Territory	 TEXASTX	2	50	52	
novel	Territory	 TEXASTX	10	9	19	
RAI	Territory	 TN	15	701	716	
context of an online lecture	Territory	 TN	7	659	666	
NAI	Territory	 TN	7	282	289	
NCCN 2016 Webex Congress Series	Territory	 TN	7	657	664	
proactive meeting to discuss CM-026	Territory	 TN	7	257	264	
Bone Marrow Transplant Director	Territory	 TN	5	713	718	
academic institution in the HSL South	Territory	 TN	10	110	120	
Annual New Orleans Summer Cancer	Territory	 TN	4	341	345	
LAI	Territory	 TN	4	238	242	
RAI/NSCLC	Territory	 TN	8	175	183	
made the following comments	Territory	 TN	17	549	566	
South	Territory	 TN	20	360	380	
NCCN panelist for NSCLC	Territory	 TN	11	482	493	
Assoc	Territory	 TN	3	312	315	
RCTs	Territory	 TN	3	541	544	
Vice Chancellor Clin Res	Territory	 TN	3	312	315	
territory	Territory	 TN	35	349	384	
shared the following unsolicited insights	Territory	 TN	26	724	750	
national access influencer	Territory	 TN	7	486	493	
NSCLC NCCN panelist	Territory	 TN	17	665	682	
Numerous TLs	Territory	 UT	6	253	259	
tone	Territory	 UT	4	0	4	
restriction	Territory	 UT	6	16	22	
AE profile	Territory	 UT	14	338	352	
comers	Territory	 UT	20	0	20	
q3wk	Territory	 UT	14	425	439	
TLs	Territory	 UT	98	6	104	
established	Territory	 UT	17	0	17	
IO-IO	Territory	 UT	21	757	778	
highly	Territory	 UT	30	34	64	
key	Territory	 UT	37	0	37	
PDL1 status	Territory	 UT	39	874	913	
SOC	Territory	 UT	69	492	561	
specifically	Territory	 UT	50	48	98	
increase	Territory	 UT	113	36	149	
regards	Territory	 UT	112	0	112	
population	Territory	 UT	222	248	470	
IO	Territory	 UT	242	52	294	
1L	Territory	 UT	288	292	580	
no PD-L1 testing	Territory	 VA&P Sales	5	36	41	
IDN	Territory	 VA&P Sales	8	100	108	
customer	Territory	 VA&P Sales	14	0	14	
medical policy	Territory	 VA&P Sales	10	161	171	
health	Territory	 VA&P Sales	25	0	25	
pharmacy	Territory	 VA&P Sales	29	48	77	
HEOR	Territory	 VA&P Sales	16	20	36	
contract	Territory	 VA&P Sales	12	83	95	
class	Territory	 VA&P Sales	21	0	21	
product	Territory	 VA&P Sales	37	20	57	
oncology	Territory	 VA&P Sales	97	148	245	
clinical	Territory	 VA&P Sales	213	0	213	
Opdivo	Territory	 VA&P Sales	445	28	473	
Northeast	Territory	 VT	9	121	130	
IME	Territory	 VT	3	0	3	
New England	Territory	 VT	17	970	987	
cell carcinoma	Territory	 VT	7	40	47	
NCCN institution	Territory	 VT	16	109	125	
immuno-oncology	Territory	 VT	11	54	65	
produce	Territory	 VT	11	0	11	
US	Territory	 VT	14	24	38	
thought leader	Territory	 VT	25	22	47	
Boston	Territory	 VT	40	82	122	
MD	Territory	 VT	29	71	100	
ipilimumab	Territory	 VT	22	17	39	
renal	Territory	 VT	22	26	48	
cabozantinib	Territory	 VT	27	137	164	
IO agents	Territory	 VT	45	174	219	
major	Territory	 VT	90	483	573	
advanced	Territory	 VT	36	0	36	
hospital	Territory	 VT	72	479	551	
improved	Territory	 VT	36	0	36	
care	Territory	 VT	75	12	87	
:regional TL shared	Territory	 W. TN	18	18	36	
TL told	Territory	 W. TN	65	938	1003	
anti-PD1	Territory	 W. TN	38	55	93	
TL shared	Territory	 W. TN	119	1081	1200	
offered	Territory	 W. TN	88	0	88	
commented	Territory	 W. TN	295	327	622	
provided the following unsolicited insights	Territory	 WA	45	146	191	
Met with a national/regional lung	Territory	 WA	10	211	221	
Met with a regional	Territory	 WA	21	174	195	
AI/TL post-ESMO	Territory	 WA	9	660	669	
AI/TL	Territory	 WA	27	661	688	
ASCO'16	Territory	 WA	5	394	399	
Met with a national	Territory	 WA	25	644	669	
FDA blueprint	Territory	 WA	6	57	63	
disclosed	Territory	 WA	13	182	195	
hit PFS	Territory	 WA	6	224	230	
CM 026	Territory	 WA	27	207	234	
distinction	Territory	 WA	5	14	19	
consideration	Territory	 WA	18	0	18	
P&T	Territory	 WA	18	182	200	
following unsolicited insights	Territory	 WA	79	48	127	
KN 024	Territory	 WA	17	248	265	
SQ	Territory	 WA	8	0	8	
organization	Territory	 WA	14	154	168	
AI	Territory	 WA	121	70	191	
reactively	Territory	 WA	41	170	211	
cytology	Territory	 WESTAZ	4	159	163	
volume	Territory	 WESTAZ	31	9	40	
in-house	Territory	 WESTAZ	25	127	152	
score	Territory	 WESTAZ	21	156	177	
requests	Territory	 WESTAZ	61	545	606	
